classification,reporter_code,reporter_iso3,reporter,partner_code,partner_iso3,partner,partner_is_group,flow,year,cmd_code,trade_value,is_reported_api_field,is_aggregate_api_field,source_flag,fetched_at_utc
H5,458,MYS,Malaysia,104,MMR,Myanmar,False,X,2017,8542,10693.732,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,116,KHM,Cambodia,False,X,2017,8542,20437.324,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,124,CAN,Canada,False,X,2017,8542,25299935.726,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,144,LKA,Sri Lanka,False,X,2017,8542,686546.214,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,156,CHN,China,False,X,2017,8542,7709470985.247,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,166,CCK,Cocos Isds,False,X,2017,8542,1807668.279,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,170,COL,Colombia,False,X,2017,8542,1184.182,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,188,CRI,Costa Rica,False,X,2017,8542,10136660.099,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,191,HRV,Croatia,False,X,2017,8542,71450.292,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,203,CZE,Czechia,False,X,2017,8542,14714450.704,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,208,DNK,Denmark,False,X,2017,8542,1766624.328,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
H5,458,MYS,Malaysia,233,EST,Estonia,False,X,2017,8542,264565.306,False,True,UN_Comtrade_official_public_preview_reporter_query,2026-09-11T16:05:47+00:00
